Sample,Species,SRA,Latitude,Longitude,Average.Depth,Sampling.Locale,K3,K14
RAL-101,D. melanogaster,SRR834536,35.7596,-79.0193,12.7,OOA,OOA,OOA_1-anc10
RAL-136,D. melanogaster,SRR834542,35.7596,-79.0193,14.3,OOA,OOA,OOA_1-anc10
RAL142,D. melanogaster,SRX020759,35.7596,-79.0193,21.7,OOA,OOA,OOA_1-anc10
RAL-149,D. melanogaster,SRR834550,35.7596,-79.0193,14.4,OOA,OOA,OOA_1-anc10
RAL158,D. melanogaster,SRX021009,35.7596,-79.0193,10.7,OOA,OOA,OOA_1-anc10
RAL-195,D. melanogaster,SRR834524,35.7596,-79.0193,13.7,OOA,OOA,OOA_1-anc10
RAL208,D. melanogaster,SRX005977,35.7596,-79.0193,16.6,OOA,OOA,OOA_1-anc10
RAL217,D. melanogaster,SRX021041,35.7596,-79.0193,12.4,OOA,OOA,OOA_1-anc10
RAL21,D. melanogaster,SRX021040,35.7596,-79.0193,16.8,OOA,OOA,OOA_1-anc10
RAL223,D. melanogaster,SRX155994,35.7596,-79.0193,41.1,OOA,OOA,OOA_1-anc10
RAL227,D. melanogaster,SRX021042,35.7596,-79.0193,12,OOA,OOA,OOA_1-anc10
RAL228,D. melanogaster,SRX021043,35.7596,-79.0193,11.4,OOA,OOA,OOA_1-anc10
RAL229,D. melanogaster,SRX021052,35.7596,-79.0193,49,OOA,OOA,OOA_1-anc10
RAL-235,D. melanogaster,SRR834531,35.7596,-79.0193,19.5,OOA,OOA,OOA_1-anc10
RAL239,D. melanogaster,SRX021054,35.7596,-79.0193,13.2,OOA,OOA,OOA_1-anc10
RAL-256,D. melanogaster,SRR834533,35.7596,-79.0193,13.2,OOA,OOA,OOA_1-anc10
RAL280,D. melanogaster,SRX021058,35.7596,-79.0193,13.5,OOA,OOA,OOA_1-anc10
